Tanggal,sumber,Artikel
2023-02-16 11:26:21+00:00,SeputarPendekar,"Ketua Umum Jokowi Mania (JoMan) Immanuel Ebenezer atau Noel menyatakan dukungannya terhadap Ketua Umum Partai Gerindra Prabowo Subianto sebagai calon presiden (capres) di Pemilu 2024, meski pernah menyerang Prabowo. 

#IndonesiaKuat 
#BangkitBersama Prabowo Subianto"
2023-02-16 11:05:10+00:00,icha687,Gojali mengatakan alasan pertama adalah karena  Prabowo Subianto dianggap memiliki modal sosial yang cukup untuk menjadi calon presiden (Capres).  #IndonesiaKuat #BangkitBersama https://t.co/8KrQVbf5Wj
2023-02-16 10:54:12+00:00,mercifulove,"https://t.co/ofkEW1Fnui, Malang - Calon presiden Prabowo Subianto menyatakan sangat berutang budi pada petani dan nelayan karena merekalah yang banyak membantu Prabowo dan pasukan saat ia masih menjadi tentara.
#IndonesiaKuat #IkutPakde"
2023-02-16 09:42:53+00:00,zxnm88473822,"&amp;quot;Kita tiba-tiba dikagetkan saja beliau deklarasikan calon presiden tanpa pamit dengan
Gerindra dan pak Prabowo.#IndonesiaKuat #IkutPakde Prabowo Subianto"
2023-02-16 08:54:30+00:00,KisahPribumi,"""Prabowo memiliki modal sosial yang lebih dari cukup untuk menjadi calon presiden tahun 2024-2029,"" terang Akhmad Gojali.

#IndonesiaKuat 
#BangkitBersama Prabowo Subianto"
2023-02-16 08:54:29+00:00,KisahPribumi,"""DPP Jokowi Mania (JoMan) memutuskan untuk mendukung Prabowo Subianto sebagai calon presiden 2024/2029,"" kata Sekjen Relawan JoMan Akhmad Gojali dalam konferensi pers di DPP JoMan, Jakarta Selatan.

#IndonesiaKuat 
#BangkitBersama Prabowo Subianto"
2023-02-16 08:54:28+00:00,KisahPribumi,"Relawan Jokowi Mania menyatakan dukungannya terhadap Ketum Gerindra Prabowo Subianto untuk maju sebagai calon presiden di Pemilu 2024. Dukungan ini dinyatakan beberapa saat setelah Relawan JoMan membubarkan Ganjar Pranowo Mania.

#IndonesiaKuat 
#BangkitBersama Prabowo Subianto"
2023-02-16 08:02:18+00:00,dikkambong_,"Prabowo pun terbahak saat ditanya kapan dia dan Khofifah akan deklarasi sebagai calon presiden dan cawapres.
Prabowo Subianto #IndonesiaKuat #IkutPakde"
2023-02-16 01:49:44+00:00,kompascom,"Jokowi Mania (Joman) memutuskan mendukung Prabowo Subianto sebagai calon presiden. Sebelumnya, mereka menarik dukungan terhadap Ganjar. https://t.co/pPSXRDNpQq"
2023-02-16 00:44:21+00:00,Pulpendid,"Dewan Pimpinan Pusat (DPP) Jokowi Mania Nusantara (Joman) memutuskan untuk mendukung Prabowo Subianto sebagai calon presiden (capres) dalam perhelatan pemilihan umum (pemilu) 2024 mendatang. Hal ini diungkapkan Sekretaris Jenderal (Sekjen) DPP Joman, Akhmad Gojali Harahap https://t.co/ptnC3qcmkD"
2023-02-15 14:37:57+00:00,kab_gerindratgl,"Relawan Jokowi Mania (Joman) resmi mendukung Ketua Umum (Ketum) Partai Gerindra Prabowo Subianto sebagai Calon Presiden (Capres) 2024.

#mendingprabowo
#prabowosubianto
#prabowo
#gerindra
#gerindrajateng
#gerindrajawatengah https://t.co/701WQUyRi3"
2023-02-15 14:27:08+00:00,klaten_kab,"Relawan Jokowi Mania (Joman) resmi mendukung Ketua Umum (Ketum) Partai Gerindra Prabowo Subianto sebagai Calon Presiden (Capres) 2024.
#mendingprabowo #prabowosubianto #prabowo
#gerindra #gerindrajateng #gerindrajawatengah https://t.co/Wfm0CHR9sI"
2023-02-15 11:03:26+00:00,sycamore_man,Gojali mengatakan alasan pertama adalah karena  Prabowo Subianto dianggap memiliki modal sosial yang cukup untuk menjadi calon presiden (Capres).  #IndonesiaKuat #BangkitBersama https://t.co/sZZDyFIozk
